mitre_id,technique,tactics,groups
T1568.001,Fast Flux DNS,Command And Control,menuPass|TA505
T1218.010,Regsvr32,Defense Evasion,Deep Panda|APT32|Inception|Kimsuky|Cobalt Group|WIRTE|Leviathan|TA551|APT19|Blue Mockingbird
T1608.001,Upload Malware,Resource Development,Threat Group-3390|Mustang Panda|APT32|Earth Lusca|LuminousMoth|BITTER|EXOTIC LILY|FIN7|LazyScripter|SideCopy|Kimsuky|TA2541|TeamTNT|TA505|Gamaredon Group|HEXANE
T1213,Data from Information Repositories,Collection,FIN6|Fox Kitten|Turla|APT28|LAPSUS$
T1021.002,SMB/Windows Admin Shares,Lateral Movement,Orangeworm|FIN8|Chimera|Moses Staff|APT3|Wizard Spider|APT39|Ke3chang|Fox Kitten|FIN13|APT32|Blue Mockingbird|APT28|Sandworm Team|Deep Panda|Lazarus Group|APT41|Threat Group-1314|Turla
T1027.002,Software Packing,Defense Evasion,TA505|The White Company|APT38|Dark Caracal|MoustachedBouncer|APT39|APT29|Ember Bear|Aoqin Dragon|Kimsuky|Rocke|TA2541|Threat Group-3390|Elderwood|TeamTNT|Patchwork|APT3|ZIRCONIUM|GALLIUM
T1595.003,Wordlist Scanning,Reconnaissance,Volatile Cedar
T1559.003,XPC Services,Execution,no
T1020,Automated Exfiltration,Exfiltration,Gamaredon Group|Ke3chang|Sidewinder|Tropic Trooper
T1003.003,NTDS,Credential Access,Sandworm Team|HAFNIUM|Volt Typhoon|Mustang Panda|Dragonfly|menuPass|Fox Kitten|FIN13|Ke3chang|APT28|Chimera|Wizard Spider|FIN6|LAPSUS$
T1201,Password Policy Discovery,Discovery,Chimera|Turla|OilRig
T1578.003,Delete Cloud Instance,Defense Evasion,LAPSUS$
T1049,System Network Connections Discovery,Discovery,Andariel|APT1|FIN13|Poseidon Group|Chimera|Sandworm Team|Earth Lusca|APT41|Ke3chang|Magic Hound|Tropic Trooper|BackdoorDiplomacy|APT3|HEXANE|admin@338|Volt Typhoon|TeamTNT|APT38|Turla|MuddyWater|APT32|OilRig|Mustang Panda|Lazarus Group|menuPass|Threat Group-3390|GALLIUM
T1185,Browser Session Hijacking,Collection,no
T1564.005,Hidden File System,Defense Evasion,Equation|Strider
T1647,Plist File Modification,Defense Evasion,no
T1119,Automated Collection,Collection,menuPass|Mustang Panda|Chimera|Patchwork|Threat Group-3390|FIN5|APT1|Sidewinder|Ke3chang|Tropic Trooper|FIN6|APT28|Confucius|OilRig|Gamaredon Group
T1037,Boot or Logon Initialization Scripts,Persistence|Privilege Escalation,Rocke|APT29
T1055.005,Thread Local Storage,Defense Evasion|Privilege Escalation,no
T1199,Trusted Relationship,Initial Access,APT28|Sandworm Team|APT29|GOLD SOUTHFIELD|menuPass|POLONIUM|LAPSUS$|Threat Group-3390
T1547.003,Time Providers,Persistence|Privilege Escalation,no
T1069.003,Cloud Groups,Discovery,no
T1537,Transfer Data to Cloud Account,Exfiltration,no
T1599.001,Network Address Translation Traversal,Defense Evasion,no
T1136.001,Local Account,Persistence,Leafminer|Kimsuky|FIN13|Dragonfly|APT3|APT39|Magic Hound|Fox Kitten|Wizard Spider|TeamTNT|APT41
T1098.005,Device Registration,Persistence|Privilege Escalation,APT29
T1069,Permission Groups Discovery,Discovery,APT3|FIN13|TA505
T1552.008,Chat Messages,Credential Access,LAPSUS$
T1589.003,Employee Names,Reconnaissance,Kimsuky|Silent Librarian|Sandworm Team
T1505,Server Software Component,Persistence,no
T1505.005,Terminal Services DLL,Persistence,no
T1114.002,Remote Email Collection,Collection,Chimera|FIN4|Kimsuky|HAFNIUM|APT28|Magic Hound|Dragonfly|APT1|Ke3chang|APT29|Leafminer
T1542.001,System Firmware,Persistence|Defense Evasion,no
T1586.003,Cloud Accounts,Resource Development,APT29
T1552,Unsecured Credentials,Credential Access,no
T1052,Exfiltration Over Physical Medium,Exfiltration,no
T1583.004,Server,Resource Development,GALLIUM|Earth Lusca|Kimsuky|Sandworm Team
T1556.003,Pluggable Authentication Modules,Credential Access|Defense Evasion|Persistence,no
T1563.001,SSH Hijacking,Lateral Movement,no
T1499.002,Service Exhaustion Flood,Impact,no
T1574,Hijack Execution Flow,Persistence|Privilege Escalation|Defense Evasion,no
T1563,Remote Service Session Hijacking,Lateral Movement,no
T1055.014,VDSO Hijacking,Defense Evasion|Privilege Escalation,no
T1134.005,SID-History Injection,Defense Evasion|Privilege Escalation,no
T1593.003,Code Repositories,Reconnaissance,LAPSUS$
T1558,Steal or Forge Kerberos Tickets,Credential Access,no
T1587.004,Exploits,Resource Development,no
T1542.002,Component Firmware,Persistence|Defense Evasion,Equation
T1059.006,Python,Execution,ZIRCONIUM|Turla|Kimsuky|MuddyWater|Machete|Tonto Team|APT37|APT39|BRONZE BUTLER|Rocke|Dragonfly|Earth Lusca|APT29
T1597,Search Closed Sources,Reconnaissance,EXOTIC LILY
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Exfiltration,APT32|OilRig|Wizard Spider|APT33|FIN6|FIN8|Lazarus Group|Thrip
T1620,Reflective Code Loading,Defense Evasion,Lazarus Group
T1547.015,Login Items,Persistence|Privilege Escalation,no
T1574.002,DLL Side-Loading,Persistence|Privilege Escalation|Defense Evasion,BlackTech|Lazarus Group|Earth Lusca|menuPass|APT3|Chimera|APT41|GALLIUM|Naikon|SideCopy|BRONZE BUTLER|Threat Group-3390|Patchwork|Mustang Panda|APT32|LuminousMoth|APT19|MuddyWater|Higaisa|Tropic Trooper|FIN13|Sidewinder
T1053.007,Container Orchestration Job,Execution|Persistence|Privilege Escalation,no
T1587.003,Digital Certificates,Resource Development,APT29|PROMETHIUM
T1601,Modify System Image,Defense Evasion,no
T1213.001,Confluence,Collection,LAPSUS$
T1090.001,Internal Proxy,Command And Control,Volt Typhoon|FIN13|APT39|Higaisa|Strider|Turla|Lazarus Group
T1083,File and Directory Discovery,Discovery,Ke3chang|Dragonfly|Winnti Group|Sandworm Team|Aoqin Dragon|Leafminer|Darkhotel|Tropic Trooper|Magic Hound|Fox Kitten|Windigo|TeamTNT|admin@338|BRONZE BUTLER|Kimsuky|Chimera|APT41|MuddyWater|Gamaredon Group|APT18|Inception|menuPass|Lazarus Group|HAFNIUM|FIN13|Sowbug|APT38|Patchwork|Dark Caracal|LuminousMoth|Mustang Panda|Turla|Sidewinder|Confucius|APT28|APT32|APT39|APT3
T1611,Escape to Host,Privilege Escalation,TeamTNT
T1583.008,Malvertising,Resource Development,no
T1552.001,Credentials In Files,Credential Access,APT3|Kimsuky|MuddyWater|Leafminer|FIN13|APT33|Fox Kitten|TA505|TeamTNT|OilRig
T1134,Access Token Manipulation,Defense Evasion|Privilege Escalation,Blue Mockingbird|FIN6
T1078.003,Local Accounts,Defense Evasion|Persistence|Privilege Escalation|Initial Access,Kimsuky|PROMETHIUM|Tropic Trooper|Turla|APT32|FIN10|HAFNIUM
T1530,Data from Cloud Storage,Collection,Fox Kitten
T1657,Financial Theft,Impact,SilverTerrier|FIN13
T1546.016,Installer Packages,Privilege Escalation|Persistence,no
T1120,Peripheral Device Discovery,Discovery,Gamaredon Group|Turla|BackdoorDiplomacy|TeamTNT|APT28|Equation|OilRig|APT37
