ransomware_notes, status
HELP_TO_SAVE_FILES.txt,True
BitCryptorFileList.txt,True
BUYUNLOCKCODE,True
YOUR_FILES_ARE_ENCRYPTED.HTML,True
Coin.Locker.txt,True
DECRYPT_INSTRUCTIONS.HTML,True
ReadDecryptFilesHere.txt,True
HOW_DECRYPT.TXT,True
READ IF YOU WANT YOUR FILES BACK.HTML,True
GetYouFiles.txt,True
HOW TO DECRYPT FILES.HTML,True
DECRYPT_INSTRUCTION.TXT,True
HELP_DECRYPT.TXT,True
HELP_YOURFILES.HTML,True
HowDecrypt.gif,True
Decrypt All Files *.bmp,True
cryptinfo.txt,True
DECRYPT_Readme.TXT.ReadMe,True
qwer.html,True
qwer2.html,True
Hellothere.txt,True
FILESAREGONE.TXT,True
HOW TO DECRYPT FILES.TXT,True
DECRYPT_Readme.TXT.ReadMe,True
README_DECRYPT_HYDRA_ID_*.txt,True
DECRYPT_YOUR_FILES.HTML,True
KryptoLocker_README.txt,True
_Locky_recover_instructions.txt,True
DECRYPT_Readme.TXT.ReadMe,True
ATTENTION.RTF,True
how to get data.txt,True
IMPORTANT READ ME.txt,True
UnblockFiles.vbs,True
YOUR_FILES.url,True
exit.hhr.obleep,True
HOW_TO_DECRYPT.HTML,True
HOW-TO-DECRYPT-FILES.HTML,True
HELP_TO_SAVE_FILES.txt,True
HELP_TO_SAVE_FILES.txt,True
HELP_TO_SAVE_FILES.txt,True
_H_e_l_p_RECOVER_INSTRUCTIONS+*.txt,True
DECRYPT_INSTRUCTIONS.HTML,True
README_DECRYPT_UMBRE_ID_*.txt,True
Help_Decrypt.txt,True
CryptLogFile.txt,True
*@Please_Read_Me@.txt*,True
*@WanaDecryptor@.exe*,True
# DECRYPT MY FILES #.vbs,True
# DECRYPT MY FILES #.html,True
# DECRYPT MY FILES #.txt,True
# DECRYPT MY FILES #.vbs,True
# DECRYPT MY FILES #.html,True
# DECRYPT MY FILES #.txt,True
HELP_DECRYPT_YOUR_FILES.HTML,True
*-HELP_FOR_DECRYPT_FILE.html,True
*-SORRY-FOR-FILES.html,True
*-READ-FOR-HELLPP.html,True
RyukReadMe.html,True
ClopReadMe.txt,True
README_README.txt,True
JSWORM-DECRYPT.html,True
NEMTY_*-DECRYPT.txt,True
NEFILIM-DECRYPT.txt,True
OFFWHITE-MANUAL.txt,True
TELEGRAM-RECOVER.txt,True
FUSION-README.txt,True
MILIHPEN-INSTRUCT.txt,True
GANGBANG-NOTE.txt,True
GET_YOUR_FILES_BACK.txt,True
read_it.txt,True
*.README.txt, True
*READ_ME_MEDUSA*.TXT,True
How_to_back_files.HTML,True
