file_name,suspicious
*.avi.com,true
*.avi.exe,true
*.doc.com,true
*.doc.exe,true
*.docx.com,true
*.docx.exe,true
*.jpg.com,true
*.jpg.exe,true
*.jpeg.com,true
*.jpeg.exe,true
*.mpg.com,true
*.mpg.exe,true
*.mpg2.com,true
*.mpg2.exe,true
*.mpeg.com,true
*.mpeg.exe,true
*.pdf.com,true
*.pdf.exe,true
*.png.com,true
*.png.exe,true
*.ppt.com,true
*.ppt.exe,true
*.pptx.com,true
*.pptx.exe,true
*.swf.com,true
*.swf.exe,true
*.xls.com,true
*.xls.exe,true
*.xlsx.com,true
*.xlsx.exe,true
*.zip.com,true
*.zip.exe,true
*.bat,true
*.chm,true
*.com,true
*.cmd,true
*.cpl,true
*.exe,true
*.hlp,true
*.hta,true
*.jar,true
*.js,true
*.msi,true
*.pif,true
*.ps1,true
*.rar,true
*.reg,true
*.scr,true
*.vbe,true
*.vbs,true
*.wsf,true
