driver_name,driver_description,is_driver
*\ADV64DRV.sys,https://github.com/namazso/physmem_drivers,TRUE
*\Agent64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\ALSysIO64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\amifldrv64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\AsIO.sys,https://github.com/namazso/physmem_drivers,TRUE
*\AsIO64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\asmmap64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\AsrAutoChkUpdDrv.sys,https://github.com/namazso/physmem_drivers,TRUE
*\AsrDrv10.sys,https://github.com/namazso/physmem_drivers,TRUE
*\AsrDrv101.sys,https://github.com/namazso/physmem_drivers,TRUE
*\AsrIbDrv.sys,https://github.com/namazso/physmem_drivers,TRUE
*\AsrOmgDrv.sys,https://github.com/namazso/physmem_drivers,TRUE
*\AsrRapidStartDrv.sys,https://github.com/namazso/physmem_drivers,TRUE
*\AsrSmartConnectDrv.sys,https://github.com/namazso/physmem_drivers,TRUE
*\AsUpIO.sys,https://github.com/namazso/physmem_drivers,TRUE
*\atillk64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\BS_Def64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\CITMDRV_AMD64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\CITMDRV_IA64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\cpuz_x64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\cpuz141.sys,https://github.com/namazso/physmem_drivers,TRUE
*\dbutil_2_3.sys,https://github.com/namazso/physmem_drivers,TRUE
*\Dh_Kernel_10.sys,https://github.com/namazso/physmem_drivers,TRUE
*\Dh_Kernel.sys,https://github.com/namazso/physmem_drivers,TRUE
*\gdrv.sys,https://github.com/namazso/physmem_drivers,TRUE
*\GLCKIO2.sys,https://github.com/namazso/physmem_drivers,TRUE
*\HOSTNT.sys,https://github.com/namazso/physmem_drivers,TRUE
*\HwRwDrv.sys,https://github.com/namazso/physmem_drivers,TRUE
*\inpoutx64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\iomem64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\Mhyprot2.sys,https://github.com/namazso/physmem_drivers,TRUE
*\MsIo64.sys,https://github.com/namazso/physmem_drivers,TRUE
*\msrhook.sys,https://github.com/namazso/physmem_drivers,TRUE
*\NTIOLib.sys,https://github.com/namazso/physmem_drivers,TRUE
*\OpenLibSys.sys,https://github.com/namazso/physmem_drivers,TRUE
*\Se64a.sys,https://github.com/namazso/physmem_drivers,TRUE
*\smep_capcom.sys,https://github.com/namazso/physmem_drivers,TRUE
*\smep_namco.sys,https://github.com/namazso/physmem_drivers,TRUE
*\SysInfo.sys,https://github.com/namazso/physmem_drivers,TRUE
*\VProEventMonitor.sys,https://github.com/namazso/physmem_drivers,TRUE
*\WCPU.sys,https://github.com/namazso/physmem_drivers,TRUE
*\WINIODrv.sys,https://github.com/namazso/physmem_drivers,TRUE
*\WinRing0.sys,https://github.com/namazso/physmem_drivers,TRUE
*\physmem.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\procexp152.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\viraglt64.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\vboxdrv.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\rwdrv.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\speedfan.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\kprocesshacker.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\sandra.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\elbycdio.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\goad.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\aswsnx.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\sandbox.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\nicm.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\nscm.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
*\ncpl.sys,https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,TRUE
