Technique ID,Detection Available,Link,score
T1218.011,Yes,https://github.com/splunk/security-content/blob/develop/detections/rundll_loading_dll_by_ordinal.yml,1
T1102,No,-,0
T1059.002,No,-,0
T1009,No,-,0
T1027.005,No,-,0
T1495,No,-,0
T1568,No,-,0
T1050,No,-,0
T1567,No,-,0
T1011.001,No,-,0
T1078,Yes,https://github.com/splunk/security-content/blob/develop/detections/web_fraud___anomalous_user_clickspeed.yml,1
T1003.005,No,-,0
T1110.002,No,-,0
T1130,No,-,0
T1542.001,No,-,0
T1124,No,-,0
T1215,No,-,0
T1164,No,-,0
T1501,No,-,0
T1556,No,-,0
T1176,No,-,0
T1020,No,-,0
T1205,No,-,0
T1204.002,Yes,https://github.com/splunk/security-content/blob/develop/detections/uncommon_processes_on_endpoint.yml,1
T1011,No,-,0
T1018,No,-,0
T1552.003,No,-,0
T1053.002,No,-,0
T1206,No,-,0
T1107,No,-,0
T1070.002,No,-,0
T1570,No,-,0
T1550.004,No,-,0
T1110.001,No,-,0
T1218.010,No,-,0
T1485,Yes,https://github.com/splunk/security-content/blob/develop/detections/deleting_shadow_copies.yml,1
T1114.002,Yes,https://github.com/splunk/security-content/blob/develop/detections/hosts_receiving_high_volume_of_network_traffic_from_email_server.yml,2
T1114.002,Yes,https://github.com/splunk/security-content/blob/develop/detections/email_servers_sending_high_volume_traffic_to_hosts.yml,2
T1014,No,-,0
T1074.002,No,-,0
T1499.001,No,-,0
T1558.001,No,-,0
T1192,No,-,0
T1535,Yes,https://github.com/splunk/security-content/blob/develop/detections/aws_cloud_provisioning_from_previously_unseen_country.yml,8
T1535,Yes,https://github.com/splunk/security-content/blob/develop/detections/aws_cloud_provisioning_from_previously_unseen_region.yml,8
T1535,Yes,https://github.com/splunk/security-content/blob/develop/detections/detect_aws_console_login_by_user_from_new_city.yml,8
T1535,Yes,https://github.com/splunk/security-content/blob/develop/detections/detect_aws_console_login_by_user_from_new_region.yml,8
T1535,Yes,https://github.com/splunk/security-content/blob/develop/detections/aws_cloud_provisioning_from_previously_unseen_city.yml,8
T1535,Yes,https://github.com/splunk/security-content/blob/develop/detections/cloud_compute_instance_started_in_previously_unused_region.yml,8
T1535,Yes,https://github.com/splunk/security-content/blob/develop/detections/ec2_instance_started_in_previously_unseen_region.yml,8
T1535,Yes,https://github.com/splunk/security-content/blob/develop/detections/detect_aws_console_login_by_user_from_new_country.yml,8
T1118,No,-,0
T1195,No,-,0
T1042,No,-,0
T1218.004,No,-,0
T1498,No,-,0
T1546.011,Yes,https://github.com/splunk/security-content/blob/develop/detections/shim_database_installation_with_suspicious_parameters.yml,3
T1546.011,Yes,https://github.com/splunk/security-content/blob/develop/detections/shim_database_file_creation.yml,3
T1546.011,Yes,https://github.com/splunk/security-content/blob/develop/detections/registry_keys_for_creating_shim_databases.yml,3
T1548.004,No,-,0
T1574.010,No,-,0
T1035,No,-,0
T1061,No,-,0
T1175,No,-,0
T1547.008,No,-,0
T1183,No,-,0
T1110.004,No,-,0
T1134.003,No,-,0
T1037.002,No,-,0
T1148,No,-,0
T1064,No,-,0
T1165,No,-,0
T1559,No,-,0
T1546,No,-,0
T1574,No,-,0
T1187,No,-,0
T1046,No,-,0
T1106,No,-,0
T1071.001,Yes,https://github.com/splunk/security-content/blob/develop/detections/tor_traffic.yml,2
T1071.001,Yes,https://github.com/splunk/security-content/blob/develop/detections/detect_web_traffic_to_dynamic_domain_providers.yml,2
T1493,No,-,0
T1021.002,Yes,https://github.com/splunk/security-content/blob/develop/detections/smb_traffic_spike___mltk.yml,2
T1021.002,Yes,https://github.com/splunk/security-content/blob/develop/detections/smb_traffic_spike.yml,2
T1218.002,No,-,0
T1563.001,No,-,0
T1565,No,-,0
T1070.004,No,-,0
T1027,Yes,https://github.com/splunk/security-content/blob/develop/detections/malicious_powershell_process___encoded_command.yml,1
T1537,No,-,0
T1218.009,No,-,0
T1480,No,-,0
T1218.005,No,-,0
T1219,No,-,0
T1025,No,-,0
T1032,No,-,0
T1546.001,Yes,https://github.com/splunk/security-content/blob/develop/detections/suspicious_changes_to_file_associations.yml,1
T1566,Yes,https://github.com/splunk/security-content/blob/develop/detections/suspicious_email___uba_anomaly.yml,1
T1029,No,-,0
T1087,No,-,0
T1184,No,-,0
T1189,No,-,0
T1002,No,-,0
T1113,No,-,0
T1561.001,No,-,0
T1562.002,No,-,0
T1547.007,No,-,0
T1127,No,-,0
T1186,No,-,0
T1070,Yes,https://github.com/splunk/security-content/blob/develop/detections/usn_journal_deletion.yml,1
T1216,No,-,0
T1059.003,Yes,https://github.com/splunk/security-content/blob/develop/detections/detect_use_of_cmd_exe_to_launch_script_interpreters.yml,7
T1059.003,Yes,https://github.com/splunk/security-content/blob/develop/detections/detect_mshta_exe_running_scripts_in_command_line_arguments.yml,7
T1059.003,Yes,https://github.com/splunk/security-content/blob/develop/detections/processes_created_by_netsh.yml,7
T1059.003,Yes,https://github.com/splunk/security-content/blob/develop/detections/first_time_seen_command_line_argument.yml,7
T1059.003,Yes,https://github.com/splunk/security-content/blob/develop/detections/detect_psexec_with_accepteula_flag.yml,7
