appName,appName1,appDescription,category
AirDroid,AirDroid,Android device managment solutions provider.,remote administration
Airsoft Powerburst,Airsoft Powerburst,A remote access accelerator that caches client sessions on the remote server. IANA tcp/udp 485.,remote administration
AMMYY,AMMYY,Remote access software.,remote administration
AnyDesk,AnyDesk,Remote Desktop Access Software.,remote administration
Apache ZooKeeper,Apache ZooKeeper,A centralized service for providing configuration information; naming; synchronization and group services over large clusters in distributed systems.,remote administration
Apple Remote Desktop,Apple Remote Desktop,VNC on Mac OSX.,remote desktop control
AweSun,AweSun,Remote desktop software.,remote administration
Blast,Blast,VMWare Blast Protocol.,remote administration
Bomgar,Bomgar,Remote desktop control and file transfer software.,remote administration
Chrome Remote Desktop,Chrome Remote Desktop,Chrome Remote Desktop is a remote desktop software tool that allows a user to remotely control another computer's desktop.,remote desktop control
Cisco Meraki,Cisco Meraki,Secure cloud solution that allows users to manage Meraki network devices in a single platform.,remote administration
Citrix CGP,Citrix CGP,Citrix Common Gateway Protocol.,remote administration
Citrix IMA,Citrix IMA,Independent Management Architeture protocol. Used for licensing and server load updates.,remote administration
Citrix Licensing,Citrix Licensing,Citrix Licensing traffic. Registered with IANA on port 7279 tcp/udp.,remote administration
Citrix RTMP,Citrix RTMP,Registered with IANA on port 2897 tcp/udp.,remote administration
Citrix SLG,Citrix SLG,Storage Link Gateway. Discovery and access to various storage services.,remote administration
Citrix WANScaler,Citrix WANScaler,Citrix WAN optimization traffic.,remote administration
CrossLoop,CrossLoop,Desktop sharing / remote access site.,remote administration
Dameware,Dameware,Remote desktop software suite.,remote administration
DLMS-COSEM Get Request,DLMS-COSEM Get Request,A DLMS-COSEM service request to get the value(s) of one or all attributes.,remote administration
DLMS-COSEM Get Response,DLMS-COSEM Get Response,A DLMS-COSEM service to send a response to a previously received GET indication primitive.,remote administration
DLMS-COSEM Initiate Request High-Level Authentication,DLMS-COSEM Initiate Request High-Level Authentication,A DLMS-COSEM service request for User-Information exchange with High-Level Authentication.,remote administration
DLMS-COSEM Initiate Request Low-Level Authentication,DLMS-COSEM Initiate Request Low-Level Authentication,A DLMS-COSEM service request for User-Information exchange with Low-Level Authentication.,remote administration
DLMS-COSEM Initiate Request No Authentication,DLMS-COSEM Initiate Request No Authentication,A DLMS-COSEM service request for User-Information exchange with No Authentication.,remote administration
DLMS-COSEM Initiate Response,DLMS-COSEM Initiate Response,A DLMS-COSEM service response for User-Information exchange.,remote administration
DLMS-COSEM Set Request,DLMS-COSEM Set Request,A DLMS-COSEM service request to set the value of one or more attributes.,remote administration
DLMS-COSEM Set Response,DLMS-COSEM Set Response,A DLMS-COSEM service to send a response to a previously received SET indication primitive.,remote administration
DNP3 Abort File,DNP3 Abort File,Distributed Network Protocol "Abort File" PDU.,remote administration
DNP3 Assign Class,DNP3 Assign Class,Distributed Network Protocol "Assign Class" PDU.,remote administration
DNP3 Authenticate File,DNP3 Authenticate File,Distributed Network Protocol "Authenticate File" PDU.,remote administration
DNP3 Close File,DNP3 Close File,Distributed Network Protocol "Close File" PDU.,remote administration
DNP3 Cold Restart,DNP3 Cold Restart,Distributed Network Protocol "Cold Restart" PDU.,remote administration
DNP3 Confirm,DNP3 Confirm,Distributed Network Protocol "Confirm" PDU.,remote administration
DNP3 Delay Measurement,DNP3 Delay Measurement,Distributed Network Protocol "Delay Measurement" PDU.,remote administration
DNP3 Delete File,DNP3 Delete File,Distributed Network Protocol "Delete File" PDU.,remote administration
DNP3 Dir Operate,DNP3 Dir Operate,Distributed Network Protocol "Dir Operate" PDU.,remote administration
DNP3 Dir Operate No Resp,DNP3 Dir Operate No Resp,Distributed Network Protocol "Dir Operate No Resp" PDU.,remote administration
DNP3 Disable Unsolicited,DNP3 Disable Unsolicited,Distributed Network Protocol "Disable Unsolicited" PDU.,remote administration
DNP3 Enable Unsolicited,DNP3 Enable Unsolicited,Distributed Network Protocol "Enable Unsolicited" PDU.,remote administration
DNP3 Freeze,DNP3 Freeze,Distributed Network Protocol "Freeze" PDU.,remote administration
DNP3 Freeze At Time,DNP3 Freeze At Time,Distributed Network Protocol "Freeze At Time" PDU.,remote administration
DNP3 Freeze At Time No Resp,DNP3 Freeze At Time No Resp,Distributed Network Protocol "Freeze At Time No Resp" PDU.,remote administration
DNP3 Freeze Clear,DNP3 Freeze Clear,Distributed Network Protocol "Freeze Clear" PDU.,remote administration
DNP3 Freeze Clear No Resp,DNP3 Freeze Clear No Resp,Distributed Network Protocol "Freeze Clear No Resp" PDU.,remote administration
