filename,originalFileName,netFile
acu.exe,acu.exe,True
AddInProcess.exe,AddInProcess.exe,True
AddInProcess32.exe,AddInProcess32.exe,True
AddInUtil.exe,AddInUtil.exe,True
AppVStreamingUX.exe,,True
aspnet_compiler.exe,aspnet_compiler.exe,True
aspnet_regbrowsers.exe,aspnet_regbrowsers.exe,True
aspnet_regiis.exe,aspnet_regiis.exe,True
aspnet_regsql.exe,aspnet_regsql.exe,True
CasPol.exe,CasPol.exe,True
ComSvcConfig.exe,ComSvcConfig.exe,True
DataSvcUtil.exe,DataSvcUtil.exe,True
DfsrAdmin.exe,DfsrAdmin.exe,True
dfsvc.exe,dfsvc.exe,True
dsac.exe,dsac.exe,True
EdmGen.exe,EdmGen.exe,True
FileHistory.exe,FileHistory.exe,True
iediagcmd.exe,IEDiagCmd.exe,True
iisual.exe,iisual.exe,True
InstallUtil.exe,InstallUtil.exe,True
jsc.exe,jsc.exe,True
LbfoAdmin.exe,LBFOADMIN.EXE,True
Microsoft.ActiveDirectory.WebServices.exe,Microsoft.ActiveDirectory.WebServices.exe,True
Microsoft.Uev.SyncController.exe,Microsoft.Uev.SyncController.exe,True
Microsoft.Workflow.Compiler.exe,Microsoft.Workflow.Compiler.exe,True
MSBuild.exe,MSBuild.exe,True
mtedit.exe,mtedit.exe,True
ngen.exe,ngen.exe,True
ngentask.exe,ngentask.exe,True
powershell_ise.exe,powershell_ise.EXE,True
RegAsm.exe,RegAsm.exe,True
RegSvcs.exe,RegSvcs.exe,True
ScriptRunner.exe,ScriptRunner.exe,True
SDNBR.exe,SDNBR.exe,True
SecureAssessmentBrowser.exe,SecureAssessmentBrowser.exe,True
ServerManager.exe,servermanager.dll,True
SMSvcHost.exe,SMSvcHost.exe,True
stordiag.exe,stordiag.exe,True
storeadm.exe,storeadm.exe,True
tzsync.exe,tzsync.exe,True
UevAgentPolicyGenerator.exe,UevAgentPolicyGenerator.exe,True
UevAppMonitor.exe,UevAppMonitor.exe,True
UevTemplateBaselineGenerator.exe,UevTemplateBaselineGenerator.exe,True
UevTemplateConfigItemGenerator.exe,UevTemplateConfigItemGenerator.exe,True
WsatConfig.exe,WsatConfig.exe,True
XBox.TCUI.exe,XBox.TCUI.exe,True
