lolbas_file_name,lolbas_file_path,description
acccheckconsole.exe,C:\Program Files (x86)\Windows Kits\*,Verifies UI accessibility requirements
addinutil.exe,C:\Windows\Microsoft.NET\Framework\*,.NET Tool used for updating cache files for Microsoft Office Add-Ins.
adplus.exe,C:\Program Files (x86)\Windows Kits\*,Debugging tool included with Windows Debugging Tools
agentexecutor.exe,C:\Program Files (x86)\Microsoft Intune Management Extension\*,Intune Management Extension included on Intune Managed Devices
appcert.exe,C:\Program Files (x86)\Windows Kits\*,Windows App Certification Kit command-line tool.
appcert.exe,C:\Program Files\Windows Kits\*,Windows App Certification Kit command-line tool.
appinstaller.exe,C:\Program Files\WindowsApps\microsoft.desktopappinstaller*,Tool used for installation of AppX/MSIX applications on Windows 10
appvlp.exe,C:\Program Files (x86)\Microsoft Office*,Application Virtualization Utility Included with Microsoft Office 2016
appvlp.exe,C:\Program Files\Microsoft Office*,Application Virtualization Utility Included with Microsoft Office 2016
aspnet_compiler.exe,C:\Windows\Microsoft.NET\Framework\*,ASP.NET Compilation Tool
aspnet_compiler.exe,C:\Windows\Microsoft.NET\Framework64\*,ASP.NET Compilation Tool
at.exe,C:\Windows\System32\*,Schedule periodic tasks
at.exe,C:\Windows\SysWOW64\*,Schedule periodic tasks
atbroker.exe,C:\Windows\System32\*,Helper binary for Assistive Technology (AT)
atbroker.exe,C:\Windows\SysWOW64\*,Helper binary for Assistive Technology (AT)
bitsadmin.exe,C:\Windows\System32\*,Used for managing background intelligent transfer
bitsadmin.exe,C:\Windows\SysWOW64\*,Used for managing background intelligent transfer
cdb.exe,C:\Program Files (x86)\Windows Kits\*,Debugging tool included with Windows Debugging Tools.
certoc.exe,C:\Windows\System32\*,Used for installing certificates
certoc.exe,C:\Windows\SysWOW64\*,Used for installing certificates
certreq.exe,C:\Windows\System32\*,Used for requesting and managing certificates
certreq.exe,C:\Windows\SysWOW64\*,Used for requesting and managing certificates
certutil.exe,C:\Windows\System32\*,Windows binary used for handling certificates
certutil.exe,C:\Windows\SysWOW64\*,Windows binary used for handling certificates
cmd.exe,C:\Windows\System32\*,The command-line interpreter in Windows
cmd.exe,C:\Windows\SysWOW64\*,The command-line interpreter in Windows
cmdkey.exe,C:\Windows\System32\*,"creates, lists, and deletes stored user names and passwords or credentials."
cmdkey.exe,C:\Windows\SysWOW64\*,"creates, lists, and deletes stored user names and passwords or credentials."
cmdl32.exe,C:\Windows\System32\*,Microsoft Connection Manager Auto-Download
cmdl32.exe,C:\Windows\SysWOW64\*,Microsoft Connection Manager Auto-Download
cmstp.exe,C:\Windows\System32\*,Installs or removes a Connection Manager service profile.
cmstp.exe,C:\Windows\SysWOW64\*,Installs or removes a Connection Manager service profile.
colorcpl.exe,C:\Windows\System32\*,Binary that handles color management
colorcpl.exe,C:\Windows\SysWOW64\*,Binary that handles color management
conhost.exe,C:\Windows\System32\*,Console Window host
control.exe,C:\Windows\SysWOW64\*,Console Window host
csc.exe,C:\Program Files\Microsoft Visual Studio\*,Binary file used by .NET to compile C# code
csc.exe,C:\Windows\Microsoft.NET\Framework\*,Binary file used by .NET to compile C# code
csc.exe,C:\Windows\Microsoft.NET\Framework64\*,Binary file used by .NET to compile C# code
cscript.exe,C:\Windows\System32\*,Binary used to execute scripts in Windows
cscript.exe,C:\Windows\SysWOW64\*,Binary used to execute scripts in Windows
