displayName,guid,type
"Domain Administer Server","ab721a52-1e2f-11d0-9819-00aa0040529b","Extended Rights"
"Change Password","ab721a53-1e2f-11d0-9819-00aa0040529b","Extended Rights"
"Reset Password","00299570-246d-11d0-a768-00aa006e0529","Extended Rights"
"Send As","ab721a54-1e2f-11d0-9819-00aa0040529b","Extended Rights"
"Receive As","ab721a56-1e2f-11d0-9819-00aa0040529b","Extended Rights"
"Send To","ab721a55-1e2f-11d0-9819-00aa0040529b","Extended Rights"
"Domain Password & Lockout Policies","c7407360-20bf-11d0-a768-00aa006e0529","Extended Rights"
"General Information","59ba2f42-79a2-11d0-9020-00c04fc2d3cf","Extended Rights"
"Account Restrictions","4c164200-20c0-11d0-a768-00aa006e0529","Extended Rights"
"Logon Information","5f202010-79a5-11d0-9020-00c04fc2d4cf","Extended Rights"
"Group Membership","bc0ac240-79a9-11d0-9020-00c04fc2d4cf","Extended Rights"
"Open Address List","a1990816-4298-11d1-ade2-00c04fd8d5cd","Extended Rights"
"Personal Information","77b5b886-944a-11d1-aebd-0000f80367c1","Extended Rights"
"Phone and Mail Options","e45795b2-9455-11d1-aebd-0000f80367c1","Extended Rights"
"Web Information","e45795b3-9455-11d1-aebd-0000f80367c1","Extended Rights"
"Replicating Directory Changes","1131f6aa-9c07-11d1-f79f-00c04fc2dcd2","Extended Rights"
"Replication Synchronization","1131f6ab-9c07-11d1-f79f-00c04fc2dcd2","Extended Rights"
"Manage Replication Topology","1131f6ac-9c07-11d1-f79f-00c04fc2dcd2","Extended Rights"
"Change Schema Master","e12b56b6-0a95-11d1-adbb-00c04fd8d5cd","Extended Rights"
"Change Rid Master","d58d5f36-0a98-11d1-adbb-00c04fd8d5cd","Extended Rights"
"Do Garbage Collection","fec364e0-0a98-11d1-adbb-00c04fd8d5cd","Extended Rights"
"Recalculate Hierarchy","0bc1554e-0a99-11d1-adbb-00c04fd8d5cd","Extended Rights"
"Allocate Rids","1abd7cf8-0a99-11d1-adbb-00c04fd8d5cd","Extended Rights"
"Change PDC","bae50096-4752-11d1-9052-00c04fc2d4cf","Extended Rights"
"Add GUID","440820ad-65b4-11d1-a3da-0000f875ae0d","Extended Rights"
"Change Domain Master","014bf69c-7b3b-11d1-85f6-08002be74fab","Extended Rights"
"Public Information","e48d0154-bcf8-11d1-8702-00c04fb96050","Extended Rights"
"Receive Dead Letter","4b6e08c0-df3c-11d1-9c86-006008764d0e","Extended Rights"
"Peek Dead Letter","4b6e08c1-df3c-11d1-9c86-006008764d0e","Extended Rights"
"Receive Computer Journal","4b6e08c2-df3c-11d1-9c86-006008764d0e","Extended Rights"
"Peek Computer Journal","4b6e08c3-df3c-11d1-9c86-006008764d0e","Extended Rights"
"Receive Message","06bd3200-df3e-11d1-9c86-006008764d0e","Extended Rights"
"Peek Message","06bd3201-df3e-11d1-9c86-006008764d0e","Extended Rights"
"Send Message","06bd3202-df3e-11d1-9c86-006008764d0e","Extended Rights"
"Receive Journal","06bd3203-df3e-11d1-9c86-006008764d0e","Extended Rights"
"Open Connector Queue","b4e60130-df3f-11d1-9c86-006008764d0e","Extended Rights"
"Apply Group Policy","edacfd8f-ffb3-11d1-b41d-00a0c968f939","Extended Rights"
"Remote Access Information","037088f8-0ae1-11d2-b422-00a0c968f939","Extended Rights"
"Add/Remove Replica In Domain","9923a32a-3607-11d2-b9be-0000f87a36b2","Extended Rights"
"Change Infrastructure Master","cc17b1fb-33d9-11d2-97d4-00c04fd8d5cd","Extended Rights"
"Update Schema Cache","be2bb760-7f46-11d2-b9ad-00c04f79f805","Extended Rights"
"Recalculate Security Inheritance","62dd28a8-7f46-11d2-b9ad-00c04f79f805","Extended Rights"
"Check Stale Phantoms","69ae6200-7f46-11d2-b9ad-00c04f79f805","Extended Rights"
Enroll,"0e10c968-78fb-11d2-90d4-00c04f79dc55","Extended Rights"
"Add/Remove self as member","bf9679c0-0de6-11d0-a285-00aa003049e2","Extended Rights"
"Validated write to DNS host name","72e39547-7b18-11d1-adef-00c04fd8d5cd","Extended Rights"
"Validated write to service principal name","f3a64788-5306-11d1-a9c5-0000f80367c1","Extended Rights"
"Generate Resultant Set of Policy (Planning)","b7b1b3dd-ab09-4242-9e30-9980e5d322f7","Extended Rights"
"Refresh Group Cache for Logons","9432c620-033c-4db7-8b58-14ef6d0bf477","Extended Rights"
"Enumerate Entire SAM Domain","91d67418-0135-4acc-8d79-c08e857cfbec","Extended Rights"
"Generate Resultant Set of Policy (Logging)","b7b1b3de-ab09-4242-9e30-9980e5d322f7","Extended Rights"
"Other Domain Parameters (for use by SAM)","b8119fd0-04f6-4762-ab7a-4986c76b3f9a","Extended Rights"
"DNS Host Name Attributes","72e39547-7b18-11d1-adef-00c04fd8d5cd","Extended Rights"
"Create Inbound Forest Trust","e2a36dc9-ae17-47c3-b58b-be34c55ba633","Extended Rights"
"Replicating Directory Changes All","1131f6ad-9c07-11d1-f79f-00c04fc2dcd2","Extended Rights"
"Migrate SID History","ba33815a-4f93-4c76-87f3-57574bff8109","Extended Rights"
"Reanimate Tombstones","45ec5156-db7e-47bb-b53f-dbeb2d03c40f","Extended Rights"
"Allowed to Authenticate","68b1d179-0d15-4d4f-ab71-46152e79a7bc","Extended Rights"
"Execute Forest Update Script","2f16c4a5-b98e-432c-952a-cb388ba33f2e","Extended Rights"
"Monitor Active Directory Replication","f98340fb-7c5b-4cdb-a00b-2ebdfa115a96","Extended Rights"
"Update Password Not Required Bit","280f369c-67c7-438e-ae98-1d46f3c6f541","Extended Rights"
"Unexpire Password","ccc2dc7d-a6ad-4a7a-8846-c04e3cc53501","Extended Rights"
"Enable Per User Reversibly Encrypted Password","05c74c5e-4deb-43b4-bd9f-86664c2a7fd5","Extended Rights"
"Query Self Quota","4ecc03fe-ffc0-4947-b630-eb672a8a9dbc","Extended Rights"
"Private Information","91e647de-d96f-4b70-9557-d63ff4f3ccd8","Extended Rights"
"Read Only Replication Secret Synchronization","1131f6ae-9c07-11d1-f79f-00c04fc2dcd2","Extended Rights"
"MS-TS-GatewayAccess","ffa6f046-ca4b-4feb-b40d-04dfee722543","Extended Rights"
"Terminal Server License Server","5805bc62-bdc9-4428-a5e2-856a0f4c185e","Extended Rights"
"Reload SSL/TLS Certificate","1a60ea8d-58a6-4b20-bcdc-fb71eb8a9ff8","Extended Rights"
"Replicating Directory Changes In Filtered Set","89e95b76-444d-4c62-991a-0facbeda640c","Extended Rights"
"Run Protect Admin Groups Task","7726b9d5-a4b4-4288-a6b2-dce952e80a7f","Extended Rights"
"Manage Optional Features for Active Directory","7c0e2a7c-a419-48e4-a995-10180aad54dd","Extended Rights"
"Allow a DC to create a clone of itself","3e0f7e18-2c7a-4c10-ba82-4d926db99a3e","Extended Rights"
"Validated write to MS DS behavior version","d31a8757-2447-4545-8081-3bb610cacbf2","Extended Rights"
"Validated write to MS DS Additional DNS Host Name","80863791-dbe9-4eb8-837e-7f0ab55d9ac7","Extended Rights"
AutoEnrollment,"a05b8cc2-17bc-4802-a710-e7c15ab866a2","Extended Rights"
"Set Owner of an object during creation.","4125c71f-7fac-4ff0-bcb7-f09a41325286","Extended Rights"
