original_file_name,description
acccheckconsole.exe,Verifies UI accessibility requirements
addinutil.exe,.NET Tool used for updating cache files for Microsoft Office Add-Ins.
adplus.exe,Debugging tool included with Windows Debugging Tools
agentexecutor.exe,Intune Management Extension included on Intune Managed Devices
appcert.exe,Windows App Certification Kit command-line tool.
appinstaller.exe,Tool used for installation of AppX/MSIX applications on Windows 10
appvlp.exe,Application Virtualization Utility Included with Microsoft Office 2016
aspnet_compiler.exe,ASP.NET Compilation Tool
at.exe,Schedule periodic tasks
atbroker.exe,Helper binary for Assistive Technology (AT)
bitsadmin.exe,Used for managing background intelligent transfer
cdb.exe,Debugging tool included with Windows Debugging Tools.
certoc.exe,Used for installing certificates
certreq.exe,Used for requesting and managing certificates
certutil.exe,Windows binary used for handling certificates
cmdkey.exe,"creates, lists, and deletes stored user names and passwords or credentials."
cmdl32.exe,Microsoft Connection Manager Auto-Download
cmstp.exe,Installs or removes a Connection Manager service profile.
colorcpl.exe,Binary that handles color management
conhost.exe,Console Window host
control.exe,Console Window host
csc.exe,Binary file used by .NET to compile C# code
cscript.exe,Binary used to execute scripts in Windows
csi.exe,Command line interface included with Visual Studio.
curl.exe,Used for transferring data to or from a server; bundled with Windows 10 1803+ and can be used to download or upload files (not in repo lookup - added manually)
customshellhost.exe,A host process that is used by custom shells when using Windows in Kiosk mode.
datasvcutil.exe,DataSvcUtil.exe is a command-line tool provided by WCF Data Services that consumes an Open Data Protocol (OData) feed and generates the client data service classes that are needed to access a data service from a .NET Framework client application.
desktopimgdownldr.exe,Windows binary used to configure lockscreen/desktop image
devicecredentialdeployment.exe,Device Credential Deployment
devinit.exe,Visual Studio 2019 tool
devtoolslauncher.exe,Binary will execute specified binary. Part of VS/VScode installation.
dfsvc.exe,ClickOnce engine in Windows used by .NET
diantz.exe,Binary that package existing files into a cabinet (.cab) file
diskshadow.exe,Diskshadow.exe is a tool that exposes the functionality offered by the volume shadow copy Service (VSS).
dnscmd.exe,A command-line interface for managing DNS servers
dotnet.exe,dotnet.exe comes with .NET Framework
dsdbutil.exe,Dsdbutil is a command-line tool that is built into Windows Server. It is available if you have the AD LDS server role installed. Can be used as a command line utility to export Active Directory.
dumpminitool.exe,Dump tool part Visual Studio 2022
dxcap.exe,DirectX diagnostics/debugger included with Visual Studio.
esentutl.exe,Binary for working with Microsoft Joint Engine Technology (JET) database
eventvwr.exe,Displays Windows Event Logs in a GUI window.
excel.exe,Microsoft Office binary
expand.exe,Binary that expands one or more compressed files
extexport.exe,Load a DLL located in the C:\test folder with a specific name.
extrac32.exe,"Extract to ADS, copy or overwrite a file with Extrac32.exe"
findstr.exe,"Write to ADS, discover, or download files with Findstr.exe"
finger.exe,Displays information about a user or users on a specified remote computer that is running the Finger service or daemon
fltmc.exe,Filter Manager Control Program used by Windows
forfiles.exe,Selects and executes a command on a file or set of files. This command is useful for batch processing.
