service,description,category
*mpssvc*,Windows Firewall Service,security
*wscsvc*,Windows Security Center Service,security
*sysmon*,Sysmon Driver,security
*csc_iseagent*,Cisco Secure Client - ISE Posture Agent,security
*csc_nvmagent*,Cisco Secure Client - Network Visibility Agent,security
*csc_umbrellaagent*,Cisco Secure Client - Umbrella Agent,security
*csc_swgagent*,Cisco Secure Client - Umbrella SWG Agent,security
*CiscoAMP*,Cisco Secure Endpoint,security
*CiscoOrbital*,Cisco AMP Orbital,security
*CiscoSCMS*,Cisco Security Connector Monitoring,security
*avast! Antivirus*,Avast,security
*aswBcc*,Avast,security
*Avast Business Console Client Antivirus Service*,Avast,security
*epag*,Bitdefender Endpoint Agent,security
*CylanceSvc*,Cylance,security
*CynetLauncher*,Cynet Launcher Service,security
*xagt*,FireEye Endpoint Agent,security
*fgprocsvc*,ForeScout Remote Inspection Service,security
*SecureConnector*, ForeScout SecureConnector Service,security
*fsdevcon*,F-Secure,security
*FSDFWD*,F-Secure,security
*F-Secure Network Request Broker*,F-Secure,security
*FSMA*,F-Secure,security
*FSORSPClient*,F-Secure,security
*klif*,Kasperksky,security
*klim*,Kasperksky,security
*kltdi*,Kasperksky,security
*enterceptagent*,MacAfee,security
*McAfeeFramework*,MacAfee Agent Backwards Compatiblity Service,security
*McAfeeEngineService*,MacAfee,security
*mfevtp*,MacAfee Validation Trust Protection Service,security
*cyverak*,PaloAlto Traps KernelDriver,security
*cyvrmtgn*,PaloAlto Traps KernelDriver,security
*cyvrfsfd*,PaloAlto Traps FileSystemDriver,security
*CyveraService*,PaloAlto Traps,security
*tlaservice*,PaloAlto Traps Local Analysis Service,security
*twdservice*,PaloAlto Traps Watchdog Service,security
*SentinelHelperService*,SentinelOne,security
*sophosssp*,Sophos,security
*Sophos Agent*,Sophos,security
*Sophos AutoUpdate Service*,Sophos,security
*Sophos Clean Service*,Sophos,security
*Sophos Device Control Service*,Sophos,security
*Sophos Message Router*,Sophos,security
*Sophos Safestore Service*,Sophos,security
*Sophos Web Control Service*,Sophos,security
*sophossps*,Sophos,security
*Symantec System Recovery*, Symantec System Recovery,security
*Smcinst*,Symantec Connect,security
*SmcService*,Symantec Connect,security
*AMSP*,Trend,security
*tmcomm*,Trend,security
*tmactmon*,Trend,security
*tmevtmgr*,Trend,security
*ntrtscan*,Trend Micro Worry Free Business,security
*WRSVC*,Webroot,security
*AcronisActiveProtectionService*,Acronis Active Protection Service,security
*bdredline_agent*,Bitdefender Agent RedLine Service,security
*BDAuxSrv*,Bitdefender Auxiliary Service,security
*UPDATESRV*,Bitdefender Desktop Update Service,security
