typosquatted_package_name,comment,package_official_url
*aasyncio*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*assyncio*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asyincio*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asyncci*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asynccio*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asynci*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asyncii*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asynciio*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asyncioi*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asyncioo*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asynciooo*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asynio*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asynncio*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*asyyncio*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*aysncio*,"Potential typo squatting, variations of asyncio","https://pypi.org/project/asyncio/"
*beaitifulsoop*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beaitifulsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beaotifulsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beaufifulsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beaurifulsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifilsoop*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifilsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautiflulsoop*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautiflulsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
