name,id,author,description,fields
AWS CloudTrail AssumeRoleWithSAML,1e28f2a6-2db9-405f-b298-18734a293f77,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail AssumeRoleWithSAML,_time; action; app; awsRegion; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.durationSeconds; requestParameters.principalArn; requestParameters.roleArn; requestParameters.roleSessionName; requestParameters.sAMLAssertionID; resources{}.ARN; resources{}.accountId; resources{}.type; responseElements.assumedRoleUser.arn; responseElements.assumedRoleUser.assumedRoleId; responseElements.audience; responseElements.credentials.accessKeyId; responseElements.credentials.expiration; responseElements.credentials.sessionToken; responseElements.issuer; responseElements.nameQualifier; responseElements.subject; responseElements.subjectType; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; src_user; src_user_id; src_user_type; start_time; status; tag; tag::action; tag::eventtype; temp_access_key; timeendpos; timestartpos; user; userAgent; userIdentity.identityProvider; userIdentity.principalId; userIdentity.type; userIdentity.userName; user_agent; user_arn; user_id; user_name; user_role; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail ConsoleLogin,b68b3f26-bd21-4fa8-b593-616fe75ac0ae,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail ConsoleLogin,_time; action; additionalEventData.LoginTo; additionalEventData.MFAUsed; additionalEventData.MobileVersion; app; authentication_method; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; desc; dest; dvc; errorCode; errorMessage; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; reason; recipientAccountId; region; requestParameters; responseElements.ConsoleLogin; result; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; status; tag; tag::action; tag::eventtype; timeendpos; timestartpos; tlsDetails.cipherSuite; tlsDetails.clientProvidedHostHeader; tlsDetails.tlsVersion; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.type; userIdentity.userName; user_access_key; user_agent; user_group_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail CopyObject,965083f4-64a8-403f-99cc-252e1a6bd3b6,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail CopyObject,_time; additionalEventData.AuthenticationMethod; additionalEventData.CipherSuite; additionalEventData.SSEApplied; additionalEventData.SignatureVersion; additionalEventData.bytesTransferredIn; additionalEventData.bytesTransferredOut; additionalEventData.x-amz-id-2; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.Host; requestParameters.bucketName; requestParameters.key; requestParameters.x-amz-copy-source; requestParameters.x-amz-server-side-encryption; requestParameters.x-amz-server-side-encryption-aws-kms-key-id; resources{}.ARN; resources{}.accountId; resources{}.type; responseElements.x-amz-server-side-encryption; responseElements.x-amz-server-side-encryption-aws-kms-key-id; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail CreateAccessKey,0460f7da-3254-4d90-b8c0-2ca657d0cea0,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail CreateAccessKey,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.userName; responseElements.accessKey.accessKeyId; responseElements.accessKey.createDate; responseElements.accessKey.status; responseElements.accessKey.userName; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; src_user_name; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail CreateKey,fcfc1593-b6b5-4a0f-91c5-3c395116a8b9,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail CreateKey,_time; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.bypassPolicyLockoutSafetyCheck; requestParameters.customerMasterKeySpec; requestParameters.description; requestParameters.keyUsage; requestParameters.origin; requestParameters.policy; resources{}.ARN; resources{}.accountId; resources{}.type; responseElements.keyMetadata.aWSAccountId; responseElements.keyMetadata.arn; responseElements.keyMetadata.creationDate; responseElements.keyMetadata.customerMasterKeySpec; responseElements.keyMetadata.description; responseElements.keyMetadata.enabled; responseElements.keyMetadata.encryptionAlgorithms{}; responseElements.keyMetadata.keyId; responseElements.keyMetadata.keyManager; responseElements.keyMetadata.keyState; responseElements.keyMetadata.keyUsage; responseElements.keyMetadata.origin; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.sessionContext.attributes.creationDate; userIdentity.sessionContext.attributes.mfaAuthenticated; userIdentity.sessionContext.sessionIssuer.accountId; userIdentity.sessionContext.sessionIssuer.arn; userIdentity.sessionContext.sessionIssuer.principalId; userIdentity.sessionContext.sessionIssuer.type; userIdentity.sessionContext.sessionIssuer.userName; userIdentity.type; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail CreateLoginProfile,0024fdb1-0d62-4449-970a-746952cf80b6,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail CreateLoginProfile,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.passwordResetRequired; requestParameters.userName; responseElements.loginProfile.createDate; responseElements.loginProfile.passwordResetRequired; responseElements.loginProfile.userName; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail CreateNetworkAclEntry,45934028-10ec-4ab5-a7b1-a6349b833e67,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail CreateNetworkAclEntry,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; direction; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object; object_category; object_id; product; protocol; protocol_code; punct; readOnly; recipientAccountId; region; requestID; requestParameters.aclProtocol; requestParameters.cidrBlock; requestParameters.egress; requestParameters.networkAclId; requestParameters.ruleAction; requestParameters.ruleNumber; responseElements._return; responseElements.requestId; rule_action; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; src_ip_range; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.sessionContext.attributes.creationDate; userIdentity.sessionContext.attributes.mfaAuthenticated; userIdentity.sessionContext.sessionIssuer.accountId; userIdentity.sessionContext.sessionIssuer.arn; userIdentity.sessionContext.sessionIssuer.principalId; userIdentity.sessionContext.sessionIssuer.type; userIdentity.sessionContext.sessionIssuer.userName; userIdentity.type; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail CreatePolicyVersion,f9f0f3da-37ec-4164-9ea0-0ae46645a86b,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail CreatePolicyVersion,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.policyArn; requestParameters.policyDocument; requestParameters.setAsDefault; responseElements.policyVersion.createDate; responseElements.policyVersion.isDefaultVersion; responseElements.policyVersion.versionId; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail CreateSnapshot,514135a2-f4b2-4d32-8f31-d87824887f9f,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail CreateSnapshot,_time; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.tagSpecificationSet.items{}.resourceType; requestParameters.tagSpecificationSet.items{}.tags{}.key; requestParameters.tagSpecificationSet.items{}.tags{}.value; requestParameters.volumeId; responseElements.encrypted; responseElements.ownerId; responseElements.requestId; responseElements.snapshotId; responseElements.startTime; responseElements.status; responseElements.tagSet.items{}.key; responseElements.tagSet.items{}.value; responseElements.volumeId; responseElements.volumeSize; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; tag; tag::eventtype; timeendpos; timestartpos; tlsDetails.cipherSuite; tlsDetails.clientProvidedHostHeader; tlsDetails.tlsVersion; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail CreateTask,6501e4fe-05b2-45f1-bd51-9e06a94fa7d9,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail CreateTask,_time; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.cloudWatchLogGroupArn; requestParameters.destinationLocationArn; requestParameters.options.logLevel; requestParameters.options.verifyMode; requestParameters.schedule.scheduleExpression; requestParameters.sourceLocationArn; responseElements.taskArn; sessionCredentialFromConsole; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; tag; tag::eventtype; timeendpos; timestartpos; tlsDetails.cipherSuite; tlsDetails.clientProvidedHostHeader; tlsDetails.tlsVersion; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.sessionContext.attributes.creationDate; userIdentity.sessionContext.attributes.mfaAuthenticated; userIdentity.sessionContext.sessionIssuer.accountId; userIdentity.sessionContext.sessionIssuer.arn; userIdentity.sessionContext.sessionIssuer.principalId; userIdentity.sessionContext.sessionIssuer.type; userIdentity.sessionContext.sessionIssuer.userName; userIdentity.type; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
