filename,nirsoftFile
AdvancedRun*.exe,True
awatch*.exe,True
BluetoothView*.exe,True
BrowsingHistoryView*.exe,True
BulletsPassView*.exe,True
ChromeCacheView*.exe,True
ChromeHistoryView*.exe,True
ChromePass*.exe,True
cports.exe,True
CredentialsFileView*.exe,True
CredHistView*.exe,True
DataProtectionDecryptor*.exe,True
DeviceIOView*.exe,True
Dialupass*.exe,True
dllexp.exe,True
DNSDataView*.exe,True
DNSQuerySniffer*.exe,True
DotNetResourcesExtract*.exe,True
DownTester*.exe,True
DriverView*.exe,True
EncryptedRegView*.exe,True
ESEDatabaseView*.exe,True
EventLogChannelsView*.exe,True
ExtPassword*.exe,True
FastResolver*.exe,True
faview.exe,True
FBCacheView*.exe,True
FileTypesMan*.exe,True
FirefoxDownloadsView*.exe,True
FlashCookiesView*.exe,True
FolderChangesView*.exe,True
FolderTimeUpdate*.exe,True
FullEventLogView*.exe,True
gacview*.exe,True
GDIView*.exe,True
HeapMemView*.exe,True
HTTPNetworkSniffer*.exe,True
IECacheView*.exe,True
iecv.exe,True
iehv.exe,True
iepv.exe,True
ImageCacheViewer*.exe,True
InstalledPackagesView*.exe,True
IPNetInfo*.exe,True
LastActivityView*.exe,True
LostMyPassword*.exe,True
mailpv*.exe,True
MozillaCacheView*.exe,True
MozillaHistoryView*.exe,True
mspass.exe,True
MyLastSearch*.exe,True
mzcv.exe,True
NetBScanner*.exe,True
NetConnectChoose*.exe,True
netpass*.exe,True
NetResView*.exe,True
NetRouteView*.exe,True
NetworkLatencyView*.exe,True
NetworkTrafficView*.exe,True
nircmd*.exe,True
OpenedFilesView*.exe,True
OperaCacheView*.exe,True
PasswordFox*.exe,True
PasswordHashesView*.exe,True
PingInfoView*.exe,True
ProcessActivityView*.exe,True
ProcessThreadsView*.exe,True
ProduKey*.exe,True
PstPassword*.exe,True
QuickSetDNS*.exe,True
rdpv.exe,True
RegDllView*.exe,True
RegFileExport*.exe,True
RegFromApp*.exe,True
RegHiveBackup*.exe,True
RegScanner*.exe,True
ResourcesExtract*.exe,True
RouterPassView*.exe,True
RunAsDate*.exe,True
RunFromProcess*.exe,True
SafariCacheView*.exe,True
SafariHistoryView*.exe,True
SearchMyFiles*.exe,True
shexview*.exe,True
shmnview*.exe,True
SimpleProgramDebugger*.exe,True
SiteShoter*.exe,True
smsniff*.exe,True
SniffPass*.exe,True
SocketSniff*.exe,True
SpecialFoldersView*.exe,True
sysexp*.exe,True
TaskSchedulerView*.exe,True
TcpLogView*.exe,True
TurnedOnTimesView*.exe,True
UninstallView*.exe,True
URLProtocolView*.exe,True
USBDeview*.exe,True
VaultPasswordView*.exe,True
volumouse*.exe,True
WebBrowserPassView*.exe,True
WebCacheImageInfo*.exe,True
WebCookiesSniffer*.exe,True
WebSiteSniffer*.exe,True
WhatIsHang*.exe,True
WhoisTD*.exe,True
WifiChannelMonitor*.exe,True
WifiInfoView*.exe,True
WinCrashReport*.exe,True
WinLogOnView*.exe,True
WirelessKeyView*.exe,True
WirelessNetView*.exe,True
WNetWatcher*.exe,True
