lolbas_file_name,lolbas_file_path,description
eventvwr.exe,c:\windows\system32\eventvwr.exe,Displays Windows Event Logs in a GUI window.
eventvwr.exe,c:\windows\syswow64\eventvwr.exe,Displays Windows Event Logs in a GUI window.
rasautou.exe,c:\windows\system32\rasautou.exe,Windows Remote Access Dialer
regedit.exe,c:\windows\system32\regedit.exe,Used by Windows to manipulate registry
regedit.exe,c:\windows\syswow64\regedit.exe,Used by Windows to manipulate registry
regsvr32.exe,c:\windows\system32\regsvr32.exe,Used by Windows to register dlls
regsvr32.exe,c:\windows\syswow64\regsvr32.exe,Used by Windows to register dlls
control.exe,c:\windows\system32\control.exe,Binary used to launch controlpanel items in Windows
control.exe,c:\windows\syswow64\control.exe,Binary used to launch controlpanel items in Windows
configsecuritypolicy.exe,c:\programdata\microsoft\windows defender\platform\4.18.2008.9-0\configsecuritypolicy.exe,Binary part of Windows Defender. Used to manage settings in Windows Defender. you can configure different pilot collections for each of the co-management workloads. Being able to use different pilot collections allows you to take a more granular approach when shifting workloads.
scriptrunner.exe,c:\windows\system32\scriptrunner.exe,
scriptrunner.exe,c:\windows\syswow64\scriptrunner.exe,
offlinescannershell.exe,c:\program files\windows defender\offline\offlinescannershell.exe,Windows Defender Offline Shell
atbroker.exe,c:\windows\system32\atbroker.exe,Helper binary for Assistive Technology (AT)
atbroker.exe,c:\windows\syswow64\atbroker.exe,Helper binary for Assistive Technology (AT)
mmc.exe,c:\windows\system32\mmc.exe,Load snap-ins to locally and remotely manage Windows systems
mmc.exe,c:\windows\syswow64\mmc.exe,Load snap-ins to locally and remotely manage Windows systems
mavinject.exe,c:\windows\system32\mavinject.exe,Used by App-v in Windows
mavinject.exe,c:\windows\syswow64\mavinject.exe,Used by App-v in Windows
ftp.exe,c:\windows\system32\ftp.exe,A binary designed for connecting to FTP servers
ftp.exe,c:\windows\syswow64\ftp.exe,A binary designed for connecting to FTP servers
ttdinject.exe,c:\windows\system32\ttdinject.exe,Used by Windows 1809 and newer to Debug Time Travel (Underlying call of tttracer.exe)
ttdinject.exe,c:\windows\syswow64\ttdinject.exe,Used by Windows 1809 and newer to Debug Time Travel (Underlying call of tttracer.exe)
certoc.exe,c:\windows\system32\certoc.exe,Used for installing certificates
certoc.exe,c:\windows\syswow64\certoc.exe,Used for installing certificates
at.exe,c:\windows\system32\at.exe,Schedule periodic tasks
at.exe,c:\windows\syswow64\at.exe,Schedule periodic tasks
netsh.exe,c:\windows\system32\netsh.exe,Netsh is a Windows tool used to manipulate network interface settings.
netsh.exe,c:\windows\syswow64\netsh.exe,Netsh is a Windows tool used to manipulate network interface settings.
pnputil.exe,c:\windows\system32\pnputil.exe,Used for installing drivers
ie4uinit.exe,c:\windows\system32\ie4uinit.exe,
ie4uinit.exe,c:\windows\syswow64\ie4uinit.exe,
ie4uinit.exe,c:\windows\system32\ieuinit.inf,
ie4uinit.exe,c:\windows\syswow64\ieuinit.inf,
infdefaultinstall.exe,c:\windows\system32\infdefaultinstall.exe,Binary used to perform installation based on content inside inf files
