command,toolkit,match,description
*Invoke-DllInjection*,PowerSploit,Invoke-DllInjection,Injects a Dll into the process ID of your choosing.
*Invoke-ReflectivePEInjection*,PowerSploit,Invoke-ReflectivePEInjection,"Reflectively loads a Windows PE file (DLL/EXE) in to the powershell process, or reflectively injects a DLL in to a remote process."
*Invoke-Shellcode*,PowerSploit,Invoke-Shellcode,Injects shellcode into the process ID of your choosing or within PowerShell locally.
*Invoke-WmiCommand*,PowerSploit,Invoke-WmiCommand,Executes a PowerShell ScriptBlock on a target computer and returns its formatted output using WMI as a C2 channel.
*Out-EncodedCommand*,PowerSploit,Out-EncodedCommand,"Compresses, Base-64 encodes, and generates command-line output for a PowerShell payload script."
*Out-CompressedDll*,PowerSploit,Out-CompressedDll,"Compresses, Base-64 encodes, and outputs generated code to load a managed dll in memory."
*Out-EncryptedScript*,PowerSploit,Out-EncryptedScript,Encrypts text files/scripts.
*Remove-Comment*,PowerSploit,Remove-Comment,Strips comments and extra whitespace from a script.
*New-UserPersistenceOption*,PowerSploit,New-UserPersistenceOption,Configure user-level persistence options for the Add-Persistence function.
*New-ElevatedPersistenceOption*,PowerSploit,New-ElevatedPersistenceOption,Configure elevated persistence options for the Add-Persistence function.
*Add-Persistence*,PowerSploit,Add-Persistence,Add persistence capabilities to a script.
*Install-SSP*,PowerSploit,Install-SSP,Installs a security support provider (SSP) dll.
*Get-SecurityPackages*,PowerSploit,Get-SecurityPackages,Enumerates all loaded security packages (SSPs).
*Find-AVSignature*,PowerSploit,Find-AVSignature,Locates single Byte AV signatures utilizing the same method as DSplit from class101.
*Invoke-TokenManipulation*,PowerSploit,Invoke-TokenManipulation,"Lists available logon tokens. Creates processes with other users logon tokens, and impersonates logon tokens in the current thread."
*Invoke-CredentialInjection*,PowerSploit,Invoke-CredentialInjection,Create logons with clear-text credentials without triggering a suspicious Event ID 4648 (Explicit Credential Logon).
*Invoke-NinjaCopy*,PowerSploit,Invoke-NinjaCopy,Copies a file from an NTFS partitioned volume by reading the raw volume and parsing the NTFS structures.
*Invoke-Mimikatz*,PowerSploit,Invoke-Mimikatz,Reflectively loads Mimikatz 2.0 in memory using PowerShell. Can be used to extract sensitive credentials without writing anything to disk. Can be used for any functionality provided with Mimikatz.
*Get-Keystrokes*,PowerSploit,Get-Keystrokes,"Logs keys pressed, time and the active window."
*Get-GPPPassword*,PowerSploit,Get-GPPPassword,Retrieves the plaintext password and other information for accounts pushed through Group Policy Preferences.
*Get-GPPAutologon*,PowerSploit,Get-GPPAutologon,Retrieves autologon username and password from registry.xml if pushed through Group Policy Preferences.
*Get-TimedScreenshot*,PowerSploit,Get-TimedScreenshot,A function that takes screenshots at a regular interval and saves them to a folder.
*New-VolumeShadowCopy*,PowerSploit,New-VolumeShadowCopy,Creates a new volume shadow copy.
*Get-VolumeShadowCopy*,PowerSploit,Get-VolumeShadowCopy,Lists the device paths of all local volume shadow copies.
*Mount-VolumeShadowCopy*,PowerSploit,Mount-VolumeShadowCopy,Mounts a volume shadow copy.
*Remove-VolumeShadowCopy*,PowerSploit,Remove-VolumeShadowCopy,Deletes a volume shadow copy.
*Get-VaultCredential*,PowerSploit,Get-VaultCredential,Displays Windows vault credential objects including cleartext web credentials.
*Out-Minidump*,PowerSploit,Out-Minidump,Generates a full-memory minidump of a process.
*Get-MicrophoneAudio*,PowerSploit,Get-MicrophoneAudio,Records audio from system microphone and saves to disk
*Mayhem*,PowerSploit,Mayhem,Cause general mayhem with PowerShell.
*Set-MasterBootRecord*,PowerSploit,Set-MasterBootRecord,Proof of concept code that overwrites the master boot record with the message of your choice.
*Set-CriticalProcess*,PowerSploit,Set-CriticalProcess,Causes your machine to blue screen upon exiting PowerShell.
*PowerUp*,PowerSploit,PowerUp,"Clearing house of common privilege escalation checks, along with some weaponization vectors."
*Invoke-Portscan*,PowerSploit,Invoke-Portscan,"Does a simple port scan using regular sockets, based (pretty) loosely on nmap."
*Get-HttpStatus*,PowerSploit,Get-HttpStatus,Returns the HTTP Status Codes and full URL for specified paths when provided with a dictionary file.
*PowerView*,PowerSploit,PowerView,PowerView is series of functions that performs network and Windows domain enumeration and exploitation.
*Invoke-ReverseDnsLookup*,PowerSploit,Invoke-ReverseDnsLookup,Scans an IP address range for DNS PTR records.
*Start-PowerCat*,PowerCat,Start-PowerCat,Starts a listener/server.
*Connect-PowerCat*,PowerCat,Connect-PowerCat,Connects a client to a listener/server.
*Invoke-Kerberoast*,Multiple,Invoke-Kerberoast,Enumerates all users with SPNs and solicits are Kerberos ticket for service
*Invoke-BloodHound*,Multiple,Invoke-BloodHound,"Enumerates AD, powershell version"
*Invoke-WMIExec*,Multiple,Invoke-WMIExec,Process execution via WMI
*Invoke-SMBExec*,Multiple,Invoke-SMBExec,Process execution via SMB
*Invoke-Tater*,Multiple,Invoke-Tater,"If the host is vulnerable to the Hot Potato privilege escalation, will run commands as System, as we will be able to impersonate the SYSTEM account"
