mitre_id,technique,tactics,groups
T1531,Account Access Removal,Impact,no
T1506,Web Session Cookie,Defense Evasion|Lateral Movement,no
T1539,Steal Web Session Cookie,Credential Access,no
T1529,System Shutdown/Reboot,Impact,Lazarus Group|APT38|APT37
T1519,Emond,Persistence|Privilege Escalation,no
T1518,Software Discovery,Discovery,no
T1534,Internal Spearphishing,Lateral Movement,no
T1528,Steal Application Access Token,Credential Access,APT28
T1522,Cloud Instance Metadata API,Credential Access,no
T1536,Revert Cloud Instance,Defense Evasion,no
T1535,Unused/Unsupported Cloud Regions,Defense Evasion,no
T1525,Implant Container Image,Persistence,no
T1538,Cloud Service Dashboard,Discovery,no
T1530,Data from Cloud Storage Object,Collection,no
T1537,Transfer Data to Cloud Account,Exfiltration,no
T1526,Cloud Service Discovery,Discovery,no
T1527,Application Access Token,Defense Evasion|Lateral Movement,APT28
T1514,Elevated Execution with Prompt,Privilege Escalation,no
T1505,Server Software Component,Persistence,no
T1503,Credentials from Web Browsers,Credential Access,TA505|Stolen Pencil|MuddyWater
T1504,PowerShell Profile,Persistence|Privilege Escalation,Turla
T1502,Parent PID Spoofing,Defense Evasion|Privilege Escalation,no
T1500,Compile After Delivery,Defense Evasion,MuddyWater
T1501,Systemd Service,Persistence,no
T1499,Endpoint Denial of Service,Impact,no
T1497,Virtualization/Sandbox Evasion,Defense Evasion|Discovery,The White Company|FIN7
T1498,Network Denial of Service,Impact,no
T1496,Resource Hijacking,Impact,APT41|Lazarus Group
T1495,Firmware Corruption,Impact,no
T1494,Runtime Data Manipulation,Impact,APT38
T1493,Transmitted Data Manipulation,Impact,APT38
T1492,Stored Data Manipulation,Impact,FIN4|APT38
T1491,Defacement,Impact,no
T1490,Inhibit System Recovery,Impact,no
T1489,Service Stop,Impact,Lazarus Group
T1488,Disk Content Wipe,Impact,Lazarus Group
T1487,Disk Structure Wipe,Impact,Lazarus Group|APT38|APT37
T1486,Data Encrypted for Impact,Impact,APT41|TA505|APT38
T1485,Data Destruction,Impact,Lazarus Group|APT38
T1484,Group Policy Modification,Defense Evasion,no
