pua_pipe_name,tool,description,type
*-stderr,PSEXEC,Remote execution like PsExec,Lateral Movement
*-stdin,PSEXEC,Remote execution like PsExec,Lateral Movement
*-stdout,PSEXEC,Remote execution like PsExec,Lateral Movement
*\dotnet-diagnostic-*,DotNet,Part of the .NET diagnostics infrastructure- Used by several C2 frameworks (May have FP)
*\paexec*,PAEXEC,Remote execution like PsExec,Lateral Movement
*\PAExecErr*,PAEXEC,Remote execution like PsExec,Lateral Movement
*\PAExecIn*,PAEXEC,Remote execution like PsExec,Lateral Movement
*\PAExecOut*,PAEXEC,Remote execution like PsExec,Lateral Movement
*\PSEXEC*,PSEXEC,Remote execution like PsExec,Lateral Movement
*\PSEXESVC*,PSEXEC,Remote execution like PsExec,Lateral Movement
*\SUPipeServer,metasploit,Lenovo System Update Privilege Escalation,Privilege Escalation
*CyberGhost*,CyberGhost VPN,CyberGhost VPN Service,VPN
