Extensions,Name
*._ryp,Rakhni
*.0x0,Ungluk
*.1999,Ungluk
*.1nt3rlock,Interlock
*.1txt,Enigma
*.73i87A,Xorist
*.777,777
*.7h9r,7h9r
*.8lock8,8lock8
*.aaa,TeslaCrypt 0.x - 2.2.0
*.abc,TeslaCrypt 0.x - 2.2.0
*.adk,Angry Duck
*.adr,BaksoCrypt
*.AES256,Rakhni
*.AFD,Jigsaw
*.aga,CryFile
*.amba,AMBA
*.areyoulovemyrans,Samas-Samsam
*.AreYouLoveMyRansFile,Samas-Samsam
*.asier,Locky
*.avos,AvosLocker
*.avos2,AvosLocker
*.avoslinux,AvosLocker
*.bart,Bart
*.bart.zip,Bart
*.basta, BlackBasta
*.better_call_saul,Troldesh
*.bitstak,BitStak
*.bleepYourFiles,Apocalypse
*.bloc,Rector
*.blocatto,Blocatto
*.breeding123,Samas-Samsam
*.btc-help-you,Samas-Samsam
*.btc,Jigsaw
*.btcbtcbtc,Samas-Samsam
*.cactus, Cactus
*.canihelpyou,Samas-Samsam
*.cbf,Offline ransomware
*.CCCRRRPPP,Unlock92
*.cerber,Cerber
*.cerber2,Cerber
*.cerber3,Cerber
*.checkdiskenced,Samas-Samsam
*.chifrator@qq_com,Rakhni
*.cifgksaffsfyghd,Samas-Samsam
*.clf,BitCryptor / CoinVault / CryptoGraphic Locker
*.Cllp,Clop
*.Clop,Clop
*.code,CryptoMix
*.country82000,Samas-Samsam
*.coverton,Coverton
*.crashed,RemindMe
*.crime,iLock / iLockLight / Lortok
*.crinf,CryptInfinite
*.criptiko,CryFile
*.criptoko,CryFile
*.criptokod,CryFile
*.cripttt,CryFile
*.crjoker,CryptoJoker
*.crptrgr,CryptoRoger
*.CRRRT,Unlock92
*.cry,Central Security Treatment Organization / CryLocker / Hi Buddy! / Rakhni
*.cryp1,CryptXXX
*.crypt,CryptXXX / Gomasom / R980
*.crypt38,Crypt38
*.crypted,Nemucod
*.crypto,Rakhni / Zimbra
*.CryptoTorLocker2015!,CryptoTorLocker2015
*.cryptz,CryptXXX 3.0
*.crypz,CryptXXX 3.0
*.CrySiS,Virus-Encoder
*.ctbl,CTB-Locker
*.cts, Cactus
*.czvxce,Coverton
*.da_vinci_code,Troldesh
*.darkness,Rakhni
*.ded,DEDCryptor
*.disposed2017,Samas-Samsam
*.domino,Domino
*.dyatel@qq_com,Rakhni
*.ecc,TeslaCrypt 0.x - 2.2.0
*.encedRSA,Samas-Samsam
*.EnCiPhErEd,Xorist
*.encmywork,Samas-Samsam
*.encoderpass,Xorist
*.encrypt,Alpha Ransomware
*.encrypted,CryptoLocker / Apocalypse / CuteRansomware / Others
*.encryptedAES,Samas-Samsam
*.encryptedRSA,Samas-Samsam
*.encryptedyourfiles,Samas-Samsam
*.enigma,Coverton / Enigma
*.epic,Jigsaw
*.exotic,Exotic
*.exx,TeslaCrypt 0.x - 2.2.0
*.ezz,TeslaCrypt 0.x - 2.2.0
*.fantom,Fantom
*.filegofprencrp,Samas-Samsam
*.fileiscryptedhard,Xorist
*.filock,Popcorn Time
*.frtrss,CryptoFortress
*.fuck,MireWare
*.fucked,MireWare
*.fucku,Samas-Samsam
*.FuckYourData,Apocalypse
*.fun,Jigsaw
*.FUSION,Fusion
*.GANGBANG,Gangbang
*.globe,Globe v3
*.goforhelp,Samas-Samsam
*.gruzin@qq_com,Rakhni
*.gws,Jigsaw
*.H3LL,Ungluk
*.ha3,El-Polocker
*.happenencedfiles,Samas-Samsam
*.hb15,Rakhni
*.helpdecrypt@ukr.net,Rakhni
*.helpmeencedfiles,Samas-Samsam
*.herbst,Herbst
*.howcanihelpusir,Samas-Samsam
*.iaufkakfhsaraf,Samas-Samsam
*.iloveworld,Samas-Samsam
*.infected,Rector
*.interlock,Interlock
*.isis,EduCrypt
*.iwanthelpuuu,Samas-Samsam
*.iwishiyou,Samas-Samsam
*.JSWORM,JSWorm
*.justbtcwillhelpyou,Samas-Samsam
*.keybtc@inbox_com,KeyBTC
*.KEYH0LES,Mobef
*.KEYZ,Mobef
*.kimcilware,KimcilWare
*.kkk,Jigsaw
*.korrektor,Rector
*.kostya,Kostya
*.kraken,Rakhni
*.kratos,KratosCrypt
*.LeChiffre,LeChiffre
*.letmetrydecfiles,Samas-Samsam
*.lock93,Lock93
*.locked,ApocalypseVM / CryptoShocker / HiddenTear / Others
*.locky,AutoLocky
*.locky,Hucky
*.locky,Locky
*.locky,PowerWare
*.LOL!,OMG! Ransomware
*.loveransisgood,Samas-Samsam
*.magic,Magic
*.MEDUSA,Medusa
*.mention9823,Samas-Samsam
*.micro,TeslaCrypt 3.0+
*.MILIHPEN,Milihpen
*.moments2900,Samas-Samsam
*.mp3,TeslaCrypt 3.0+
*.myransext2017,Samas-Samsam
*.nalog@qq_com,Rakhni
*.NEFILIM,Nefilim
*.NEMTY_*,Nemty
*.nochance,Rakhni
*.noproblemwedecfiles,Samas-Samsam
*.notfoundrans,Samas-Samsam
*.odcodc,ODCODC
*.odin,Locky
*.OFFWHITE,Offwhite
*.OMG!,OMG! Ransomware
*.only-we_can_help_you,Samas-Samsam
*.oor,LowLevel04
*.oplata@qq_com,Rakhni
*.oshit,Rakhni
*.osiris,Locky
*.otherinformation,Samas-Samsam
*.p5tkjw,Xorist
*.padcrypt,PadCrypt
*.paybtcs,Jigsaw
*.payms,Jigsaw
*.paymst,Jigsaw
*.payransom,Jigsaw
*.perl,Bart
*.pizda@qq_com,Rakhni
*.PoAr2w,Xorist
*.porno,Jigsaw
*.powerfulldecryp,Samas-Samsam
*.powerfulldecrypt,Samas-Samsam
*.prosperous666,Samas-Samsam
*.purge,Globe v1
*.R4A,7ev3n
*.R5A,7ev3n
*.RAD,Radamant
*.RADAMANT,Radamant
*.RDM,Radamant
*.reddot,RedDot
*.rekt,RektLocker
*.relock@qq_com,Rakhni
*.remind,RemindMe
*.rhysida,Rhysida
*.rip,Killer Locker
*.rokku,Rokku
*.RRK,Radamant
*.RSNSlocked,SNSLocker
*.RSplited,SNSLocker
*.RYK,Ryuk
*.sanction,Sanction
*.scl,CryptFIle2 / CryptoMix
*.SecureCrypted,Apocalypse
*.shino,ShinoLocker
*.shit,Locky
*.Silent,BlackShades Crypter
*.skjdthghh,Samas-Samsam
*.sport,Sport
*.stubbin,Samas-Samsam
*.supported2017,Samas-Samsam
*.suppose665,Samas-Samsam
*.suppose666,Samas-Samsam
*.surprise,Surprise
*.szf,SZFLocker
*.TELEGRAM,Telegram
*.termite,Termite
*.theworldisyours,Samas-Samsam
*.thor,Locky
*.toxcrypt,Toxcrypt
*.troyancoder@qq_com,Rakhni
*.trun,VaultCrypt
*.tzu,Surprise
*.unavailable,Apocalypse
*.vanhelsing,Vanhelsing
*.vanlocker,Vanhelsing
*.vault,VaultCrypt / Zlader
*.vekanhelpu,Samas-Samsam
*.Venusf,VenusLocker
*.Venusp,VenusLocker
*.VforVendetta,Samas-Samsam
*.vscrypt,Rector
*.vvv,TeslaCrypt 0.x - 2.2.0
*.wcry,WannaCry
*.weapologize,Samas-Samsam
*.weareyourfriends,Samas-Samsam
*.weencedufiles,Samas-Samsam
*.wflx,WildFire Locker
*.Where_my_files.txt,Apocalypse
*.Whereisyourfiles,Samas-Samsam
*.windows10,Troldesh
*.wncry,WannaCry
*.wncryt,WannaCry
*.wnry,WannaCry
*.wowreadfordecryp,Samas-Samsam
*.wowwhereismyfiles,Samas-Samsam
*.xcri,TeleCrypt
*.xort,VaultCrypt
*.xrtn,XRTN
*.xtbl,Troldesh / Virus-Encoder
*.xxx,TeslaCrypt 3.0+
*.xyz,Jigsaw
*.xyz,TeslaCrypt 0.x - 2.2.0
*.Z81928819,GhostCrypt
*.zc3791,Xorist
*.zcrypt,Zcrypt
*.zepto,Locky
*.zyklon,Zyklon
*.zzz,TeslaCrypt 0.x - 2.2.0
*.zzzzz,Locky
