suspicious_pipe_name,tool,description,type
*\foobar,_,Suspicious string  often used in POC exploitation,Possible POC
*\pipename,_,Suspicious string  often used in POC exploitation,Possible POC
*\piper,_,From High Integrity to SYSTEM with Named Pipes,Privilege Escalation
*\testpipe,_,Suspicious string  often used in POC exploitation,Possible POC
*\$77childproc64,77-rootkit,Fileless ring 3 rootkit that hides artifacts,Persistence
*\$77stager,77-rootkit,Fileless ring 3 rootkit that hides artifacts,Persistence
*\$77svc32,77-rootkit,Fileless ring 3 rootkit that hides artifacts,Persistence
*\$77svc64,77-rootkit,Fileless ring 3 rootkit that hides artifacts,Persistence
*\$77config,77-rootkit,Fileless ring 3 rootkit that hides artifacts,Persistence
*\$77childproc,77-rootkit,Fileless ring 3 rootkit that hides artifacts,Persistence
*\$77control_redirec,77-rootkit,Fileless ring 3 rootkit that hides artifacts,Persistence
*\$77control,77-rootkit,Fileless ring 3 rootkit that hides artifacts,Persistence
*\AmperageAIXSysRemove,AmperageKit,Enabling Recall in Windows 11 version 24H2 on unsupported devices,Collection
*\AmperageHwReqDetour,AmperageKit,Enabling Recall in Windows 11 version 24H2 on unsupported devices,Collection
*\samr,BadPotato,Used by BadPotato for privilege escalation,Privilege Escalation
*\aswSP_Avar*,BYOVD_kill_av_edr,Used by BYOD tools to kill AV/EDR,Defense Evasion
*IpHlpSvc.log*,Chimichurri,Used by kernel exploit Chimichurri.cpp,Privilege Escalation
*WWWAITER*,exploit_64,Used by CLFS Elevation of Privilege tool (CVE-2022-24521),Privilege Escalation
*\8e8988b257e9dd2ea44ff03d44d26467b7c9ec16,CobaltStrike,Known CobaltStrike pipe name,Privilege Escalation
*\coerced*,CoercedPotato,Used by CoercedPotato From Patate (LOCAL/NETWORK SERVICE) to SYSTEM,Privilege Escalation
*\gruntsvc*,covenant,Known Covenant pipe name,Lateral Movement
*\svcctl,CrackMapExec,Service Control Manager Remote Protocol used by many lateral movement tools,Lateral Movement
*\innocent,CVE-2023-21768,Used by LPE exploit for CVE-2023-36802,Privilege Escalation
*\ioring_in,CVE-2023-21768,Used by CVE-2023-21768 exploits,Privilege Escalation
*\ioring_out,CVE-2023-21768,Used by CVE-2023-21768 exploits,Privilege Escalation
*CyberGhost*,CyberGhost VPN,CyberGhost VPN Service,VPN
*\DeadPotato*,DeadPotato,Used by DeadPotato for privilege escalation,Privilege Escalation
*\syelog,defender-control,Associated with Microsoft's Detours - a library used for intercepting Win32 functions - used by the offensive tool defender-control,Defense Evasion
*\win-sux-no-async-anon-pipe-*-*,dns2tcp,dns2tcp,Defense Evasion
*\HighPriv,EasySystem,EasySystem.ps1 default pipe name,Privilege Escalation
*\EasySystem,EasySystem,Quick and dirty System (Power)Shell using NamedPipe impersonation - also used by Cn33liz/P0wnedShell,Defense Evasion
*\warpzone8,elevationstation,Used by Elevationstation elevate to SYSTEM - Metasploit and PSEXEC getsystem alternative,Privilege Escalation
*\pcheap_reuse,EQGPR,Used by EquationGroup Tool,Exploitation
*\kangaroo*,EventCleaner,Used by EventCleaner,Defense Evasion
*\EvtMuteHook_Rule_Pipe,EvtMute,Possible Event Log tampering,Defense Evasion
*\cachedumppipe,fgdump,Fgdump pipe name,Credential Access
*\fuego-control,fuegoshell,fuegoshell pipe name,Lateral Movement
*\fuego-data,fuegoshell,fuegoshell pipe name,Lateral Movement
*\fuegoshell,fuegoshell,fuegoshell pipe name,Lateral Movement
*\Godpotato*,GodPotato,Used by GodPotato for privilege escalation,Privilege Escalation
*\gsecdump_*,gsecdump,Credential dumper used to obtain password hashes and LSA secrets from Windows operating systems,Credential Access
*\Ctx_WinStation_API_service,impacket,impacket dcerpc pipe name,Exploitation
*\LSM_API_service,impacket,impacket dcerpc pipe name,Exploitation
*\protected_storage,impacket,impacket dcerpc pipe name,Credential Access
*\TermSrv_API_service,impacket,impacket dcerpc pipe name,Exploitation
*\AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA*,impacketremoteshell,impacketremoteshell default pipe name,Lateral Movement
