handler,ishandler
"*bingmaps:*",TRUE
"*calculator:*",TRUE
"*callto:*",TRUE
"*conf:*",TRUE
"*DLNA-PLAYSINGLE:*",TRUE
"*Explorer.AssocActionId.BurnSelection:*",TRUE
"*Explorer.AssocActionId.EraseDisc:*",TRUE
"*Explorer.AssocActionId.ZipSelection:*",TRUE
"*Explorer.AssocProtocol.search-ms:*",TRUE
"*Explorer.BurnSelection:*",TRUE
"*Explorer.EraseDisc:*",TRUE
"*Explorer.ZipSelection:*",TRUE
"*feed:*",TRUE
"*feeds:*",TRUE
"*file:*",TRUE
"*FirefoxURL-308046B0AF4A39CB:*",TRUE
"*ftp:*",TRUE
"*grvopen:*",TRUE
"*http:*",TRUE
"*https:*",TRUE
"*iehistory:*",TRUE
"*ierss:*",TRUE
"*im:*",TRUE
"*LDAP:*",TRUE
"*Lync15:*",TRUE
"*Lync15classic:*",TRUE
"*ma-chan:*",TRUE
"*ma-filelink:*",TRUE
"*mailto:*",TRUE
"*mapi:*",TRUE
"*mapi15:*",TRUE
"*mapi16:*",TRUE
"*mk:*",TRUE
"*MMS:*",TRUE
"*ms-access:*",TRUE
"*ms-actioncenter:*",TRUE
"*ms-apprep:*",TRUE
"*ms-availablenetworks:*",TRUE
"*ms-cortana:*",TRUE
"*ms-cxh:*",TRUE
"*ms-device-enrollment:*",TRUE
"*ms-excel:*",TRUE
"*ms-msdt:*",TRUE
"*ms-penworkspace:*",TRUE
"*ms-powerpoint:*",TRUE
"*ms-publisher:*",TRUE
"*ms-settings:*",TRUE
"*ms-settings-airplanemode:*",TRUE
"*ms-settings-bluetooth:*",TRUE
"*ms-settings-cellular:*",TRUE
"*ms-settings-connectabledevices:*",TRUE
"*ms-settings-displays-topology:*",TRUE
"*ms-settings-emailandaccounts:*",TRUE
"*ms-settings-language:*",TRUE
"*ms-settings-location:*",TRUE
"*ms-settings-lock:*",TRUE
"*ms-settings-mobilehotspot:*",TRUE
"*ms-settings-notifications:*",TRUE
"*ms-settings-power:*",TRUE
"*ms-settings-privacy:*",TRUE
"*ms-settings-proximity:*",TRUE
"*ms-settings-screenrotation:*",TRUE
"*ms-settings-wifi:*",TRUE
"*ms-settings-workplace:*",TRUE
"*ms-teams:*",TRUE
"*ms-windows-search:*",TRUE
"*ms-word:*",TRUE
"*mssharepointclient:*",TRUE
"*msteams:*",TRUE
"*mswindowsmusic:*",TRUE
"*mswindowsvideo:*",TRUE
"*odopen:*",TRUE
