dynamic_dns_domains, isDynDNS_default
*.0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18.com*, True
*.0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18.net*, True
*.0-shiny.com*, True
*.0000.tk*, True
*.0000000000000000000000.com*, True
*.000webhosting.ga*, True
*.0012.gq*, True
*.004z.com*, True
*.008bond.com*, True
*.0099098.ru*, True
*.010.is*, True
*.0101.ch*, True
*.011000110100111011001101011100110011101010101001001010011101001.pl*, True
*.012wan.com*, True
*.01898.com*, True
*.01blog.tk*, True
*.01sw.net*, True
*.02.cl*, True
*.0260.info*, True
*.0260.us*, True
*.027huiteng.com*, True
*.02ipo.com*, True
*.03c8.net*, True
*.04sakau.tk*, True
*.0720.tk*, True
*.0739zy.xyz*, True
*.0750.cf*, True
*.07thkt4.us*, True
*.0800068078.com*, True
*.0800nautica.com.br*, True
*.0812.hk*, True
*.09199002732.ir*, True
*.0920340500.com*, True
*.0953200202.tw*, True
*.09march98.tk*, True
*.0a5.com.ar*, True
*.0bit.org*, True
*.0costsolar.com*, True
*.0craft.org*, True
*.0dbu.com*, True
*.0e-mail.ru*, True
*.0gr.pl*, True
*.0ip.com.br*, True
*.0iq.ru*, True
*.0load.com*, True
*.0ner0m.com*, True
*.0nit.com*, True
*.0nline.xyz*, True
*.0on.me*, True
*.0ong.com*, True
*.0phre4k-id.cf*, True
*.0rca.ch*, True
*.0rg.eu*, True
*.0rg.us*, True
*.0sms.com.au*, True
*.0tjh.com*, True
*.0tue0.com*, True
*.0ubox.com*, True
*.0wnz-u.com*, True
*.0x.no*, True
*.0x00000001.de*, True
*.0x26.ch*, True
*.0x29.com.ve*, True
*.0x29a.one.pl*, True
*.0x55.me*, True
*.0x61.org*, True
*.0x77.me*, True
*.0x90.ml*, True
*.0xee.eu*, True
*.0xworm.com*, True
*.0xz0.info*, True
*.0zzie.co.uk*, True
*.1-3-3-7.de*, True
*.1-800.ro*, True
*.1-800sickfedoras.com*, True
*.1-court.com*, True
*.1-court.net*, True
*.1-hr.ru*, True
*.1000-2000.net*, True
*.1000-happiness.com*, True
*.1000doors.com*, True
*.1000moments.net*, True
*.1000oto.com*, True
*.1000views.com*, True
*.1000virgins.co.uk*, True
*.1000virgins.com*, True
*.1001arabesque.com*, True
*.1001fakta.com*, True
*.1001presenter.nu*, True
*.100515.info*, True
*.10089danielsrunway.com*, True
*.100datesofsummer.com.au*, True
*.100giga.ro*, True
*.100konebay.co.uk*, True
*.100letters.org*, True
*.100mgblue-pill.com*, True
*.100mountain.com*, True
*.100paydayadvance1000.com*, True
*.100percent.info*, True
*.100x100logistica.com.ar*, True
*.100yearvita.com*, True
*.10101.tw*, True
*.101107577603585234182084907890239187.xyz*, True
*.101240249642023079629167864707043624.xyz*, True
*.101768225600992293696488011808460955.xyz*, True
*.101clan.net*, True
*.101eyewear.com*, True
*.10244528716173274066799407355981.xyz*, True
*.1025.ro*, True
*.103149674440460345026173397479625337.xyz*, True
*.10415248431687848670877886427371.xyz*, True
*.1045.ca*, True
*.10454096982665866346089090654827.xyz*, True
*.105.com.au*, True
*.105.net.au*, True
*.105632853311007563986684078732140421.xyz*, True
*.105creative.com*, True
*.105creative.com.au*, True
*.10668016811030272232064139659016.xyz*, True
*.10726029732480862651864413286946.xyz*, True
*.10742086223582223602607451174001.xyz*, True
*.107tv.com*, True
*.1080.ch*, True
*.10859155697777473566221838775384.xyz*, True
*.10890.biz*, True
*.108not.ru*, True
*.10983311398764301613389248808724.xyz*, True
*.10coder.com*, True
*.10dv.com*, True
*.10perhead.com*, True
*.10things.co.za*, True
*.10whitestallion.com*, True
*.10x.es*, True
*.1111128.com*, True
*.111lotto.com*, True
*.111yxb.com*, True
*.112.sx*, True
*.1122.cf*, True
*.112233.ch*, True
*.112forum.nl*, True
*.11688.tw*, True
*.118iranian.com*, True
*.119111.net*, True
*.119dvd.com*, True
*.11bcgarden.org*, True
*.11deseptiembre.cl*, True
*.11plusnet.co.uk*, True
*.11plusnet.com*, True
*.11thcircle.com*, True
*.120buntu.com*, True
*.120v.ac*, True
*.121912.com*, True
*.121computerhelp.com*, True
*.12258.tk*, True
*.12296930123025003412952950082308.xyz*, True
*.1234567.ro*, True
*.123456mu.com*, True
*.1234casinos.com*, True
*.1234mu.com*, True
*.123erp.net*, True
*.123layby.co.za*, True
*.123ok.us*, True
*.123pozvoni.ru*, True
*.123print.ru*, True
*.123pt.eu*, True
*.123remote.org*, True
*.123voip.com*, True
*.123zq.net*, True
*.124sto.ru*, True
*.127x0x0x1.tk*, True
*.128kbps.cf*, True
*.128kbps.tk*, True
*.12ama.com*, True
*.12b.ro*, True
*.12bobywz.com*, True
*.12deerdesigns.com*, True
*.12g.ru*, True
*.12host.net*, True
*.12oclocktech.com*, True
*.12oz.io*, True
*.12qcp.com*, True
*.12thmonkeyit.com*, True
*.12v.si*, True
*.1314.cz*, True
*.1332.tw*, True
*.1337.cx*, True
*.1337.moe*, True
*.1337bar.com*, True
*.1337home.com*, True
*.1337team.tk*, True
*.13492prismct.com*, True
*.1353355.com*, True
*.138985.com*, True
*.139160.com*, True
*.139190.com*, True
*.139220.com*, True
*.139535.com*, True
*.139565.com*, True
*.139869.com*, True
*.13h.pl*, True
*.13h.tw*, True
*.13jasminestreet.com*, True
*.13tribos.com.br*, True
*.1497.ru*, True
*.14east.co.uk*, True
*.14khawaii.com*, True
*.150watt.ru*, True
*.152group.co.uk*, True
*.155dvd.com*, True
*.155mall.com*, True
*.1568mu.com*, True
*.15862388836.tk*, True
*.158851.com*, True
*.15april.ga*, True
*.15kvdesign.com*, True
*.15kvdesigns.com*, True
*.15mu.com*, True
*.15puzzle.co.uk*, True
*.15rheinlandplace.ml*, True
*.16101993.com*, True
*.163163.net*, True
*.1637.tw*, True
*.1668.info*, True
*.166dvd.com*, True
*.168168.net*, True
*.16888.com.au*, True
*.1689mu.com*, True
*.168g.ml*, True
*.168g.tk*, True
*.168grains.com*, True
*.168lot.com*, True
*.168prod.com*, True
*.1696699.com*, True
*.1696699.net*, True
*.16mm.ro*, True
*.173zf.com*, True
*.17es.net*, True
*.17es.org*, True
*.17life.com*, True
*.17life.tw*, True
*.17muqj.com*, True
*.17mus.com*, True
*.17ping.cn*, True
*.17ping.com*, True
*.17pointsofdisagreement.org*, True
*.17pondviewdrive.com*, True
*.17to.com*, True
*.17w17k.tk*, True
*.18-porno.ru*, True
*.1800la1taxi.com*, True
*.18021997.com*, True
*.1816manuel.com*, True
*.1828365365.com*, True
*.185mu.com*, True
*.18888.cf*, True
*.188dvd.com*, True
*.189.dk*, True
*.1898.biz*, True
*.18mei.net*, True
*.18mo.tk*, True
*.18t.biz*, True
*.18tabu.ro*, True
*.18theatrium.co.uk*, True
*.18wap.cf*, True
*.1933sib.tk*, True
*.193edgemontscouts.ca*, True
*.1945.la*, True
*.1954f100.com*, True
*.195zf.com*, True
*.1978sm.com*, True
*.1981taipei.com*, True
*.1981tokyo.com*, True
*.19inside.net*, True
